Month,Total Revenue (SAR)
Apr-44,"140,806.00"
Mar-44,"1,217,805.73"
Aug-44,"301,492.75"
Jun-44,"70,725.00"
Jul-44,"20,585.00"
Sept-44,"29,921.00"
